company_id,rank,offer_product,prob,expected_revenue
comp_001eac7794df,1,Тарифы Webinar СМБ,0.9811313310492106,11321.73124565309
comp_001eac7794df,2,Расширения,0.01198718535507551,149.81855978631074
comp_001eac7794df,3,Enterprise-300,0.0010030019971652303,19.278978813597213
comp_002f5166d79b,1,Расширения,0.5765115366339822,7205.371866726429
comp_002f5166d79b,2,Тарифы Webinar СМБ,0.31545504249409484,3640.1826118272043
comp_002f5166d79b,3,Enterprise-500,0.04598809284808754,919.3939522189661
comp_003be29c3721,1,МТС Линк. Корпорация,0.6440375690940918,16656.14402829548
comp_003be29c3721,2,Доски,0.1951169097447291,3126.848028103031
comp_003be29c3721,3,МТС Линк. Компания,0.05290033097112415,604.1458252952247
comp_005edceddb66,1,Тарифы Webinar СМБ,0.9736156578862433,11235.004393713412
comp_005edceddb66,2,Расширения,0.015595362867389715,194.9143802258757
comp_005edceddb66,3,Enterprise-500,0.0019024063380691473,38.03290751067839
comp_0077c29db87d,1,Расширения,0.6998890006805688,8747.371379207523
comp_0077c29db87d,2,Тарифы Webinar СМБ,0.2570729624725152,2966.484607646983
comp_0077c29db87d,3,Enterprise-300,0.01916134739752648,368.30555827500893
comp_00dee20896ef,1,Тарифы Webinar СМБ,0.7583169191228213,8750.572003606327
comp_00dee20896ef,2,Расширения,0.22263506771491473,2782.543542538405
comp_00dee20896ef,3,Enterprise-300,0.0026393186295528086,50.731073402936325
comp_01533632d2d2,1,Enterprise-150,0.9009494049452509,15119.529822078815
comp_01533632d2d2,2,Тарифы Webinar СМБ,0.04051799953366101,467.5560618791395
comp_01533632d2d2,3,Расширения,0.025908769764622825,323.8136774390817
comp_01947a8e8866,1,Тарифы Webinar СМБ,0.5717392831800407,6597.56579154855
comp_01947a8e8866,2,Расширения,0.39242478146044363,4904.613872343934
comp_01947a8e8866,3,Enterprise-100,0.005791728337984739,85.98116954365234
comp_01a0b80afc46,1,Тарифы Webinar СМБ,0.9734125186809011,11232.660275840955
comp_01a0b80afc46,2,Расширения,0.015717968048451447,196.44672757055332
comp_01a0b80afc46,3,Enterprise-300,0.0016755994215534706,32.20715994534905
comp_01d51efd0faf,1,Тарифы Webinar СМБ,0.9666462078857269,11154.580665167834
comp_01d51efd0faf,2,Расширения,0.02118697896834036,264.7996657460223
comp_01d51efd0faf,3,Enterprise-300,0.001809706209373813,34.78486360741069
comp_0214c9e2f3e1,1,Расширения,0.8861928332506259,11075.83890945204
comp_0214c9e2f3e1,2,Enterprise Total-150,0.04283748592365221,1065.6963918346883
comp_0214c9e2f3e1,3,Тарифы Webinar СМБ,0.03213752995037081,370.84992139444324
comp_025ef56deb35,1,Enterprise-150,0.6067896613957313,10183.00731522141
comp_025ef56deb35,2,Тарифы Webinar СМБ,0.2314375636605807,2670.6658048639947
comp_025ef56deb35,3,Расширения,0.13436842235489918,1679.3670008152558
comp_0278866a79c0,1,Enterprise-100,0.5963440585542111,8853.032568640909
comp_0278866a79c0,2,Тарифы Webinar СМБ,0.23404807834340396,2700.78974924986
comp_0278866a79c0,3,Расширения,0.14706191835727445,1838.01319117586
comp_02e2e4f40ddd,1,Расширения,0.696373783084467,8703.437392872649
comp_02e2e4f40ddd,2,Тарифы Webinar СМБ,0.23944313268831602,2763.045793283708
comp_02e2e4f40ddd,3,Enterprise-300,0.016066675193886857,308.82200787568905
comp_02f6a88552fc,1,Тарифы Webinar СМБ,0.9515509899530794,10980.389917079876
comp_02f6a88552fc,2,Расширения,0.025842189269711126,322.98153932141196
comp_02f6a88552fc,3,Enterprise-100,0.007352960675504873,109.15846213677484
comp_0312f1b7139d,1,Расширения,0.7454768064317107,9317.138109189913
comp_0312f1b7139d,2,Enterprise-1000,0.09270773356679118,2354.4265920924704
comp_0312f1b7139d,3,Тарифы Webinar СМБ,0.08092339349307386,933.8127156076528
