company_id,segment,action,priority,ltv_pred_lgb_clip,ltv_12m_actual,ltv_rank,monetary_12m,growth_rate_12m,frequency,n_unique_products,renewal_share_line,has_collab
comp_ea5fe1da8f0f,Medium_Renewal,Продления: стимулировать повторные покупки,Medium,14755.229132808396,21000.0,729.0,22000.0,2.0,3,1,0.0,0
comp_76c2d4a40589,Medium_Renewal,Продления: стимулировать повторные покупки,Medium,14409.61547920234,0.0,737.0,30000.0,0.0,3,1,0.0,0
comp_ddd37014da74,Medium_Renewal,Продления: стимулировать повторные покупки,Medium,14247.869778710952,0.0,745.0,10000.0,0.9090909090909091,2,1,0.0,0
comp_fa2e4cc0df79,Medium_Renewal,Продления: стимулировать повторные покупки,Medium,14161.927005504516,22000.0,753.0,22000.0,1.0,2,1,0.0,0
comp_29627d612724,Medium_Renewal,Продления: стимулировать повторные покупки,Medium,13687.475575254626,16000.0,767.0,16000.0,1.0666666666666667,3,3,0.25,0
comp_0fdd0dd8279a,Medium_Renewal,Продления: стимулировать повторные покупки,Medium,13291.11332968219,31000.0,776.0,11000.0,1.1,2,1,0.0,0
comp_912b826355ae,Medium_Renewal,Продления: стимулировать повторные покупки,Medium,13023.174503672562,0.0,783.0,32000.0,0.0,2,2,0.0,0
comp_d38dd50431e3,Medium_Renewal,Продления: стимулировать повторные покупки,Medium,12568.735420139386,22000.0,795.0,22000.0,0.0,2,1,0.0,0
comp_97bd573cc270,Medium_Renewal,Продления: стимулировать повторные покупки,Medium,12486.12428001408,0.0,796.0,53000.0,0.0,2,2,0.0,0
comp_8c0612b357e3,Medium_Renewal,Продления: стимулировать повторные покупки,Medium,12179.669363030047,0.0,801.0,22000.0,1.0476190476190477,4,1,0.25,0
comp_1812221eabea,Medium_Renewal,Продления: стимулировать повторные покупки,Medium,11980.28151961785,0.0,805.0,11000.0,1.0,2,1,0.0,0
comp_936fa1a4e9fb,Medium_Renewal,Продления: стимулировать повторные покупки,Medium,11738.519485800553,0.0,809.0,17000.0,1.2142857142857142,2,1,0.0,0
comp_ea0c60691df5,Medium_Renewal,Продления: стимулировать повторные покупки,Medium,11452.261005869756,0.0,821.0,31000.0,0.0,4,5,0.0,1
comp_a8ebc9f305a1,Medium_Renewal,Продления: стимулировать повторные покупки,Medium,11340.525336555746,0.0,827.0,20000.0,0.0,6,3,0.0,0
comp_0a26e4c3b008,Medium_Renewal,Продления: стимулировать повторные покупки,Medium,10859.504913334871,11000.0,837.0,11000.0,1.0,7,2,0.0,0
comp_cb42451b3023,Medium_Renewal,Продления: стимулировать повторные покупки,Medium,10741.649096559717,0.0,840.0,11000.0,1.1,2,1,0.0,0
comp_a149bf46b7dd,Medium_Renewal,Продления: стимулировать повторные покупки,Medium,10703.576509773851,33000.0,842.0,0.0,0.0,2,3,0.0,0
comp_ff11ab0c81c1,Medium_Renewal,Продления: стимулировать повторные покупки,Medium,10660.885461618898,11000.0,845.0,10000.0,0.0,2,1,0.0,0
comp_ceb49bb635ab,Medium_Renewal,Продления: стимулировать повторные покупки,Medium,10441.48691780625,0.0,851.0,0.0,0.0,8,4,0.2857142857142857,0
comp_d4b6d846f4c6,Medium_Renewal,Продления: стимулировать повторные покупки,Medium,10421.033747221998,11000.0,852.0,11000.0,1.1,2,1,0.0,0
comp_3e9246019585,Medium_Renewal,Продления: стимулировать повторные покупки,Medium,9955.974448503697,10000.0,866.0,10000.0,0.0,2,3,0.0,0
comp_d38c48b34eee,Medium_Renewal,Продления: стимулировать повторные покупки,Medium,9897.166150450568,0.0,868.0,20000.0,0.0,3,1,0.0,0
comp_c89bf6e582fe,Medium_Renewal,Продления: стимулировать повторные покупки,Medium,9582.29285173881,0.0,875.0,10000.0,0.9090909090909091,2,1,0.0,0
comp_4bc7a36df85a,Medium_Renewal,Продления: стимулировать повторные покупки,Medium,9529.821510428368,0.0,877.0,20000.0,2.0,4,1,0.0,0
comp_ef3c20c1c861,Medium_Renewal,Продления: стимулировать повторные покупки,Medium,9394.031676537084,20000.0,883.0,0.0,0.0,2,3,0.0,0
comp_568f8c3a75af,Medium_Renewal,Продления: стимулировать повторные покупки,Medium,9392.42473503143,10000.0,884.0,10000.0,1.0,2,1,0.0,0
comp_12a8507dc079,Medium_Renewal,Продления: стимулировать повторные покупки,Medium,9385.466316348822,10000.0,885.0,10000.0,0.5,4,1,0.25,0
comp_efab1231bac4,Medium_Renewal,Продления: стимулировать повторные покупки,Medium,9330.540946261903,42000.0,888.0,0.0,0.0,12,3,0.0,0
comp_eb433e56fe2b,Medium_Renewal,Продления: стимулировать повторные покупки,Medium,8898.699243261124,0.0,901.0,21000.0,0.0,2,2,0.0,0
comp_8ae41636b61f,Medium_Renewal,Продления: стимулировать повторные покупки,Medium,8825.382918536292,10000.0,902.0,10000.0,1.0,2,1,0.0,0
comp_5b2b8128d09a,Medium_Renewal,Продления: стимулировать повторные покупки,Medium,8793.86113323952,0.0,905.0,12000.0,0.0,2,2,0.0,0
comp_bab3f9b88ea5,Medium_Renewal,Продления: стимулировать повторные покупки,Medium,8360.01470988154,0.0,925.0,11000.0,1.0,2,1,0.0,0
comp_da1ab932bd59,Medium_Renewal,Продления: стимулировать повторные покупки,Medium,8212.9601203512,11000.0,934.0,11000.0,1.0,2,1,0.0,0
comp_f4a846db01f4,Medium_Renewal,Продления: стимулировать повторные покупки,Medium,8101.536065562627,10000.0,938.0,10000.0,1.0,2,1,0.0,0
comp_47bd4b2f6d31,Medium_Renewal,Продления: стимулировать повторные покупки,Medium,8092.024685709341,0.0,939.0,22000.0,2.0,3,1,0.0,0
comp_6f8215b81f08,Medium_Renewal,Продления: стимулировать повторные покупки,Medium,8079.543980183041,0.0,941.0,10000.0,0.0,2,1,0.0,0
comp_61ee1fb755c0,Medium_Renewal,Продления: стимулировать повторные покупки,Medium,7883.7788636252535,0.0,947.0,30000.0,0.0,3,1,0.0,0
comp_9fd2a12eceb2,Medium_Renewal,Продления: стимулировать повторные покупки,Medium,7723.163635893427,0.0,957.0,10000.0,1.0,2,1,0.0,0
comp_d44713012369,Medium_Renewal,Продления: стимулировать повторные покупки,Medium,7337.114547380286,0.0,972.0,21000.0,1.9090909090909092,2,2,0.0,0
comp_371a2d08ef6a,Medium_Renewal,Продления: стимулировать повторные покупки,Medium,7281.8297266020645,20000.0,973.0,11000.0,0.5238095238095238,22,2,0.2727272727272727,0
comp_a0b574d84616,Medium_Renewal,Продления: стимулировать повторные покупки,Medium,7130.1562595675605,0.0,981.0,20000.0,1.0,7,2,0.14285714285714285,0
comp_65ef5eb74f3b,Medium_Renewal,Продления: стимулировать повторные покупки,Medium,7018.882361797277,0.0,982.0,21000.0,1.0,3,2,0.0,0
comp_d3906099e5fa,Medium_Renewal,Продления: стимулировать повторные покупки,Medium,6851.542691576175,0.0,988.0,10000.0,1.0,2,1,0.0,0
comp_509590d4b70d,Medium_Renewal,Продления: стимулировать повторные покупки,Medium,6841.917094746805,10000.0,989.0,10000.0,1.0,2,1,0.0,0
comp_58aedcc53a0a,Medium_Renewal,Продления: стимулировать повторные покупки,Medium,6825.93979973861,0.0,990.0,0.0,0.0,3,1,0.0,0
